library_name,persona_name,github_link
archive_file_manager,film,https://github.com/code-refactor/archive_file_manager_film
archive_file_manager,legal,https://github.com/code-refactor/archive_file_manager_legal
memory_profiler_tool,embedded_engineer,https://github.com/code-refactor/memory_profiler_tool_embedded_engineer
memory_profiler_tool,game_developer,https://github.com/code-refactor/memory_profiler_tool_game_developer
binary_file_format_parser,audio_researcher,https://github.com/code-refactor/binary_file_format_parser_audio_researcher
binary_file_format_parser,automotive_engineer,https://github.com/code-refactor/binary_file_format_parser_automotive_engineer
process_resource_monitor,hft_developer,https://github.com/code-refactor/process_resource_monitor_hft_developer
process_resource_monitor,k8s_engineer,https://github.com/code-refactor/process_resource_monitor_k8s_engineer
template_rendering_engine,email_marketing,https://github.com/code-refactor/template_rendering_engine_email_marketing
template_rendering_engine,report_generator,https://github.com/code-refactor/template_rendering_engine_report_generator
code_dependency_analyzer,performance-engineer,https://github.com/code-refactor/code_dependency_analyzer_performance-engineer
code_dependency_analyzer,legacy-modernizer,https://github.com/code-refactor/code_dependency_analyzer_legacy-modernizer
terminal_game_engine,ascii_art,https://github.com/code-refactor/terminal_game_engine_ascii_art
terminal_game_engine,multiplayer,https://github.com/code-refactor/terminal_game_engine_multiplayer
code_pattern_detector,security_auditor,https://github.com/code-refactor/code_pattern_detector_security_auditor
code_pattern_detector,performance_engineer,https://github.com/code-refactor/code_pattern_detector_performance_engineer
http_api_mock_server,blockchain,https://github.com/code-refactor/http_api_mock_server_blockchain
http_api_mock_server,microservices,https://github.com/code-refactor/http_api_mock_server_microservices
data_migration_framework,startup_cto,https://github.com/code-refactor/data_migration_framework_startup_cto
data_migration_framework,compliance_auditor,https://github.com/code-refactor/data_migration_framework_compliance_auditor
